cell_id,nadh_amp1,Lifetime fit_nadh: t1,nadh_offset,nadh_amp2,Lifetime fit_nadh: t2,Lifetime fit_nadh: a1,Lifetime fit_nadh: tm,Lifetime fit free_nadh: G(1st),Lifetime fit free_nadh: S(1st),Lifetime fit free_nadh: Tau_phase,Lifetime fit free_nadh: Tau_m,Lifetime fit free_nadh: G(2nd),Lifetime fit free_nadh: S(2nd),nadh_centroid_x,nadh_centroid_y,Intensity morphology_nadh: area,Intensity morphology_nadh: perimeter,Intensity morphology_nadh: solidity,Intensity morphology_nadh: eccentricity,Intensity morphology_nadh: circularity,Intensity texture_nadh: intensity_sum,Intensity texture_nadh: granularity_1,Intensity texture_nadh: granularity_3,Intensity texture_nadh: granularity_5,Intensity texture_nadh: granularity_7,Intensity texture_nadh: radial_distribution_ring1,Intensity texture_nadh: radial_distribution_ring2,Intensity texture_nadh: radial_distribution_ring3,Intensity texture_nadh: radial_distribution_ring4,Intensity texture_nadh: mass_displacement,fad_amp1,Lifetime fit_fad: t1,fad_offset,fad_amp2,Lifetime fit_fad: t2,Lifetime fit_fad: a1,Lifetime fit_fad: tm,Lifetime fit free_fad: G(1st),Lifetime fit free_fad: S(1st),Lifetime fit free_fad: Tau_phase,Lifetime fit free_fad: Tau_m,Lifetime fit free_fad: G(2nd),Lifetime fit free_fad: S(2nd),Intensity texture_fad: intensity_sum,Intensity texture_fad: granularity_1,Intensity texture_fad: granularity_3,Intensity texture_fad: granularity_5,Intensity texture_fad: granularity_7,Intensity texture_fad: radial_distribution_ring1,Intensity texture_fad: radial_distribution_ring2,Intensity texture_fad: radial_distribution_ring3,Intensity texture_fad: radial_distribution_ring4,Intensity texture_fad: mass_displacement,image_name,cell_line,treatment,dish
MCF7_Cyanide_dish1_1_15,18267.544671637603,420.7706243,407.5666681,6810.459268698092,2252.795150307976,72.84289736575053,918.2954051236594,0.6313926611084288,0.4191150818345285,1.3205775325537548,1.7127737507592975,0.4208247875093554,0.3559106637349989,98.02226027,12.83390410958904,584,197.5452018978108,0.7002398081534772,0.6550655663809677,0.1880571021841032,676732,18.52949173380304,54.79628567882116,76.20549937050413,100,0.1050135060851267,0.3447864147106979,0.4134044200658459,0.1367956591383295,1.390183701097114,1565.2120908280428,181.91315087657367,35.685985393663074,668.3719701752567,2155.4292671931366,70.07625628045393,772.4630557870805,0.5655575082838183,0.450736949,1.585537555670527,1.8998611882485248,0.3444979823561214,0.3262988014553974,51897,35.13497890051448,71.64383297685801,84.48850607934948,100,0.1060754956933926,0.2990731641520704,0.4220860550706206,0.1727652850839162,1.6691295276751248,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_16,5021.675113000873,411.26304353119593,92.35677589058966,1605.2666088564806,2254.868579717217,75.77666024190465,857.8458763605912,0.6503059399856387,0.4064453269776025,1.2434105800747353,1.6649621988590813,0.4435264331374409,0.3539579988474544,228.55555555555557,14.74074074074074,162,55.420310216782966,0.7980295566502463,0.791187837,0.662806828,165744,31.426175306496766,55.64786658943913,100,100,0.057697413,0.2414687711169031,0.4390083502268558,0.261825466,0.5486917663994044,390.05054720898585,219.2686505643032,4.362244037547924,155.00793947427695,2397.205141,71.56122815048413,838.6470399900081,0.5761213800934335,0.4449771485176132,1.5365753467183685,1.873744771917016,0.3523296903188521,0.3236877100643527,12587,41.80503694287757,75.27607849368397,100,100,0.044569794,0.2187971716850719,0.5033764995630412,0.2332565345197426,1.6342060726609928,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_17,4366.081114971714,403.2420068253767,89.68016581423211,1543.1216996383453,2138.735593146957,73.88612731613995,856.4465923939508,0.6497542766238921,0.4088483362119197,1.2518238821975818,1.660697592892434,0.4403002436535608,0.3577996096998613,156,16.857142857142858,147,57.66295090390226,0.7945945945945946,0.6941676060960041,0.5555632009013683,149372,26.02227994537129,61.22499531371341,100,100,0.075449214,0.2890702407412366,0.43653429,0.1989462549875478,0.4192786289961646,276.8051058623777,239.26985165807324,4.848955117986442,116.78578398897344,2401.272223324914,70.32812827,880.7764222407694,0.5791618066036976,0.4492280970222901,1.5431109104926293,1.8464131116121532,0.3473049780456015,0.3253216190850784,9867,31.823249214553563,67.67001114827201,100,100,0.074389379,0.2946184250532077,0.4618425053207662,0.1691496908888213,0.5791800904729546,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_19,4532.231800982173,408.4020201275518,108.04710211997914,1690.5087919069824,2235.1394605391333,72.83337194,904.6649861670304,0.6286385815907959,0.4187878415994043,1.3253274029225357,1.7259257746726129,0.4194640771006208,0.3530573223333131,39.60115606936416,16.07514450867052,173,64.31980515339464,0.7361702127659574,0.6933096365392056,0.5254925059310733,167350,22.700328652524647,62.745144905885866,100,100,0.068855692,0.2855811174185838,0.4301882282641171,0.2153749626531222,0.2687531670587291,335.3837694,162.15743357882008,7.099314665026668,128.9195232990749,2192.1817845804244,72.23376932,725.8186776756932,0.5546940502361792,0.452369381,1.6224444599510195,1.9409926017364996,0.3374590512268169,0.311806248,10155,29.98522895125554,62.96405711472182,100,100,0.077498769,0.3108813392417528,0.4215657311669128,0.190054161,0.1115736119455713,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_20,10079.16066144762,421.0426999427225,204.2554711,3539.451533357241,2274.0680610355685,74.01018927091962,902.6404841,0.6381385770768941,0.4150613206565651,1.2939795375507948,1.6946863309461158,0.4284419528464713,0.3558083514275045,194.30699088145897,21.674772036474163,329,85.25483399593904,0.8123456790123457,0.7296711735965804,0.5688106716904245,358496,16.25485361064001,42.095309292153885,63.76919128804784,66.95109568865483,0.115387619,0.3618785146835669,0.4343033116129608,0.088430554,0.4289318145456816,967.1123729825936,169.1420387763498,21.339176605572607,391.6680298472028,2117.061954,71.17503100342668,730.6293505226823,0.5586342826904959,0.4477391820317167,1.5945115222133233,1.940141755503164,0.349064078,0.3197246533569635,30063,28.57332934171573,55.45687389814722,82.30715497455344,85.19442504074777,0.156205302,0.3767089112862988,0.4099391278315537,0.057146659,2.0803011524745383,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_21,7375.089115238972,428.4385063105945,155.8600374130248,2718.0960808961204,2275.175622332244,73.06998704495247,925.7650509008956,0.6318482658781867,0.4191945590976111,1.3198755500437411,1.710525328786831,0.421348977,0.355357981,53.34136546184739,21.96787148594377,249,82.21930009,0.7323529411764705,0.8017542228825624,0.4628727993184355,272502,21.04278133738468,50.66898591569971,83.08562872933042,100,0.1278339241546851,0.5204475563482103,0.2989629433912412,0.052755576,0.3388852903791995,576.5492351730002,216.1276754569336,12.298126400300813,228.83334378296163,2319.261925767013,71.58700103997727,813.6911881254182,0.5648673956456396,0.4452285267417118,1.5680742370400198,1.9217390295961867,0.3543522266290986,0.3199704029734631,19322,30.94917710381948,64.36186730152158,90.95331746196044,100,0.1228133733567953,0.524376359,0.3010040368491875,0.051806231,0.1843972174539147,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_23,12131.248820101431,402.2212101662165,253.18643228761096,4481.801486474312,2167.027125564586,73.02240465316395,878.3234086794147,0.641902886,0.4143320494887419,1.2841310423986894,1.680077220670405,0.4296061356897135,0.3558736937855653,81.24299065420561,26.08644859813084,428,112.77564927611034,0.8492063492063492,0.6653584076687843,0.4228856622242246,429016,19.092761109142785,43.98996774,67.65808268223097,75.46571689633953,0.08626951,0.2949050851250303,0.4390908497585171,0.1797345553545788,0.8432530417919044,944.5309132,176.28771397181998,21.63093374107916,387.0979019393749,2053.658553656579,70.93049522928972,722.0301197779047,0.5770693970213474,0.4425161021773507,1.5255666264493974,1.8778516297454857,0.3601826339666128,0.3245754605289213,29390,28.138822728819324,62.235454236134736,83.38550527390268,88.61857774753318,0.067642055,0.2450833616876488,0.5013269819666554,0.1859476012249064,1.6633102892101148,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_24,14833.064610978216,428.13549802518446,318.4046049586886,5765.550167176829,2283.442437827576,72.01001023966315,947.4357204986928,0.6273957631604041,0.4238676882625179,1.3440606743997656,1.7163664944947636,0.4125742006614801,0.3563794660052743,137.42094861660078,19.215415019762847,506,138.84671708797583,0.7259684361549498,0.9305894695126016,0.3298292365290734,566785,17.75523347,45.42057393897157,66.71295111903103,71.97879266388489,0.2684015984897271,0.4363859311731962,0.2089610698942279,0.0862514,1.2356082788975589,1305.4941492328924,168.07677064487604,35.50566617,546.4811860209708,2037.552008229855,70.49198358000481,719.7218307191955,0.5674660968667017,0.4460253371143742,1.5636867457355916,1.9077304027906432,0.3530035186410481,0.3272380796389058,41952,27.32408466819222,64.85030511060259,78.92353165522502,83.74332570556827,0.208595538,0.411660946,0.2838720442410374,0.095871472,4.323351256873688,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_26,4995.618674805843,408.5702454683976,90.57822408292672,1650.7691636094096,2223.863392205229,75.16291249108005,859.4361929,0.6503490504089072,0.4075674021481062,1.2467606175139472,1.6616327149361687,0.4424597243254604,0.3556122046532243,172.22727272727272,24.467532467532468,154,82.28427125,0.7,0.9034264374596052,0.2858228402601034,166149,30.71640515,77.15123172574015,100,100,0.1770037737211779,0.4616579094668039,0.2754094216636874,0.085928895,1.4111978395279403,237.53456952749764,196.4819854319483,7.298906448627296,115.7515516993496,1992.043870727536,67.23574894553393,784.7843893684988,0.5676788149853961,0.4438588996895337,1.5555085035790956,1.9141861776531488,0.3591996406934708,0.3250635351114719,8713,39.61896017445197,83.61069666016297,100,100,0.1840927349936875,0.4297027430276598,0.2611040973258349,0.1251004246528176,1.868336063981715,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
MCF7_Cyanide_dish1_1_27,15711.176726198184,416.3223756270745,327.95885629455233,5910.556353206659,2239.3595488608566,72.66381778231927,914.6711391983172,0.6344311252273337,0.4187141228804694,1.3129956063972847,1.7005084646228248,0.4216395961285131,0.3567517021425493,122.2463768115942,25.19047619047619,483,113.1543289325507,0.827054795,0.830230169,0.4740396273496879,577006,18.073988832005213,38.62282194639224,53.435146254978285,64.15999140390221,0.190878431,0.5544500403808625,0.2262576125724862,0.028413916,1.0678496067907426,1256.0004057232773,190.9989236402809,29.287535050936956,546.2622349555329,2179.082503069157,69.69019816,793.5831169,0.5620295043613561,0.4520696416999171,1.6002077635604035,1.91045452,0.3413287620588137,0.3267698753601544,42901,29.20910934477052,53.52089694878907,64.54395002447495,77.69982051700427,0.1816740868511223,0.5911051024451645,0.1940048017528728,0.033216009,2.1901580119856705,MCF7_Cyanide_dish1_1,MCF7,Cyanide,dish1
