cell_id,standard_amp1,Lifetime fit_standard: t1,standard_offset,standard_reduced_chi_square,standard_amp2,Lifetime fit_standard: t2,Lifetime fit_standard: a1,Lifetime fit_standard: tm,Lifetime fit free_standard: G(1st),Lifetime fit free_standard: S(1st),Lifetime fit free_standard: Tau_phase,Lifetime fit free_standard: Tau_m,Lifetime fit free_standard: G(2nd),Lifetime fit free_standard: S(2nd),Intensity texture_standard: intensity_sum,image_name
Tcell_Qui_filtered_66,871.4884590704656,536.9706690913757,27.731595565242905,1.0640306249077058,605.4580563926539,4456.549072190048,59.00609466533031,2143.7589291758036,0.4638089179931909,0.43450255353022704,2.9819706563469626,3.866897648794618,0.2673080917040665,0.32791903835356656,37558,Tcell_Qui_filtered
Tcell_Qui_filtered_67,1021.162388490244,510.4212127553661,30.343555980372535,1.2685431728264025,693.0126783281245,4595.899041065442,59.57165100911159,2162.112447129932,0.45004556723110856,0.43329456645548253,3.0646217666593203,3.9785283770882223,0.2604589739683037,0.3213500063099398,43465,Tcell_Qui_filtered
Tcell_Qui_filtered_68,1356.0345974430165,459.1701561399823,42.0554881241237,1.5315330719717126,942.81484866385,4413.835429516117,58.98753394831836,2081.0759088410123,0.45646869394395495,0.4341974238410776,3.027794335028764,3.9238495017096335,0.26002766532304317,0.32609760344755134,56830,Tcell_Qui_filtered
Tcell_Qui_filtered_69,1045.3563888054482,452.3850490328066,30.75242460056443,1.6185642680587706,723.1506960394588,4501.319359223978,59.1095392132468,2108.012945422923,0.45365761995768383,0.43678775778641793,3.064731095675999,3.9263282514430484,0.2580225457087167,0.32811475926695194,43828,Tcell_Qui_filtered
Tcell_Qui_filtered_70,1052.4992579584803,472.79394333897744,29.981371322199372,1.5873854011116062,710.6860933901269,4563.6970215235015,59.6930582002315,2121.7118661477516,0.45272053385680816,0.4368262335968007,3.0713453068658634,3.9330283179663623,0.25424049833491064,0.3197832182907195,43772,Tcell_Qui_filtered
Tcell_Qui_filtered_71,1050.569102874793,523.2234816251336,31.994614434754734,1.1666925614081716,698.9135468443338,4516.86038141962,60.05027275025895,2118.6705304380453,0.46217695853783536,0.430858624966797,2.9674036608914687,3.9046089567875106,0.26032426934395964,0.3250486033221341,43858,Tcell_Qui_filtered
Tcell_Qui_filtered_72,1043.246100879178,560.7524978229198,32.16701439231857,1.0966070631693603,691.0145198163984,4487.320518229452,60.15509367102814,2125.2898474972676,0.4669484620935601,0.4290107065094332,2.9244843970228946,3.88155236037636,0.2738159722968354,0.3291930645201763,43698,Tcell_Qui_filtered
Tcell_Qui_filtered_73,2385.0473278455042,562.2926815206072,48.2224349579322,1.5478938627960925,1209.9342172340848,4560.6594659748525,66.34379893020291,1907.991046004509,0.4909034792923846,0.4182124845347471,2.711758501789066,3.772333487174874,0.30042794965372455,0.3253542660743471,79163,Tcell_Qui_filtered
Tcell_Qui_filtered_74,810.6555974029943,470.7423071426891,21.49781871028034,1.07281845051496,498.8530505084327,4584.948314343717,61.90532599352683,2038.035673540657,0.4532894395923478,0.43381016850079446,3.0463111049982214,3.950437974144425,0.2658537267500888,0.31228714656194073,31273,Tcell_Qui_filtered
Tcell_Qui_filtered_75,1082.0724918030003,473.0021248101995,31.819305498689697,1.4622173836424022,707.6449684126312,4561.700678559507,60.460520493141324,2089.652251567134,0.4521818044206374,0.4296140692367527,3.0242350343335644,3.9889855592468955,0.25582284462251154,0.3234695537919721,44146,Tcell_Qui_filtered
Tcell_Qui_filtered_76,603.3406181750179,488.2200076696179,19.7649552975438,1.1478114105283153,405.52690545925344,4412.417324948091,59.80375064523709,2065.60014649579,0.4575128559142078,0.43239412587819653,3.008337868884664,3.9288404017617404,0.26186287468090536,0.3215606425710737,25051,Tcell_Qui_filtered
Tcell_Qui_filtered_77,1234.034264149968,482.83639488068945,37.19164153647286,1.5369965536098245,815.4751003273637,4481.742962955235,60.21120398562672,2073.953172057246,0.45871766056041846,0.43265658613273705,3.002257827185613,3.9179336663968,0.26440092129141973,0.32370139149389326,50432,Tcell_Qui_filtered
Tcell_Qui_filtered_78,1225.1509265562077,474.1758978509392,36.40199757847231,1.273048804804049,820.3568209525162,4495.816436767022,59.894709665526825,2087.0665121921056,0.45925116470382077,0.43654244992746877,3.0257033238102027,3.886481915109527,0.2663689931660933,0.32291182770222965,50445,Tcell_Qui_filtered
Tcell_Qui_filtered_79,932.1865640270059,549.2737880920683,24.04395278554939,1.410747200341617,568.4251576804628,4820.961999499863,62.12043732180892,2167.370601549183,0.4415117634233174,0.4210903760924465,3.0358699539011518,4.133580259044517,0.2664832534019266,0.31996071676484933,37535,Tcell_Qui_filtered
Tcell_Qui_filtered_80,1012.6603542067152,558.423340910033,30.57308602303149,1.260675125962888,688.3703929971758,4570.843198317745,59.53216047806892,2182.162969751882,0.46216550028546605,0.43620240256313964,3.0042817351621225,3.8672325016036284,0.2676467312004333,0.32562056040388004,43578,Tcell_Qui_filtered
Tcell_Qui_filtered_81,2463.4950008623878,542.4442175097687,43.376064562426,1.6395663583237936,1219.0511183338697,4488.280524317358,66.89651456150843,1848.6535647605326,0.49921637440275946,0.4184353485313256,2.668023626541221,3.707722020854218,0.3041677031089462,0.3266556500621546,77791,Tcell_Qui_filtered
Tcell_Qui_filtered_82,1173.8639396071962,553.3772178350625,30.266525962418278,1.2887209155713553,740.5001711143112,4601.981809957207,61.31873936796573,2119.4285120743366,0.46406879580595456,0.43154612608927817,2.960022296693523,3.885584706839812,0.27558008697547803,0.3281601198394479,47021,Tcell_Qui_filtered
Tcell_Qui_filtered_83,7035.83874427558,612.7098920293981,62.215775261533786,2.233475308695281,2187.161500276428,4477.208331121387,76.28579158318493,1529.1451061402383,0.5659015714884976,0.388931072069163,2.187670286160202,3.3699336168629084,0.3819831697389536,0.3246889934815063,156694,Tcell_Qui_filtered
Tcell_Qui_filtered_84,5563.627885045595,593.0591723964105,53.943248826963796,2.054882304448975,1903.3380426115236,4639.1591395208,74.50988713418802,1624.4146206799985,0.5362447730416469,0.396806219393337,2.3554046376187965,3.554713695711363,0.3563127645891754,0.3199295505779331,134340,Tcell_Qui_filtered
Tcell_Qui_filtered_85,6929.779155887083,171.1592468210128,47.05660880266552,3.4880076197179193,1083.5889768756808,3974.422391687812,86.47773372041387,685.4466165832633,0.5586113525464425,0.3575624218257179,2.037474771612027,3.5917666253015073,0.400360410436891,0.273465264204368,68296,Tcell_Qui_filtered
Tcell_Qui_filtered_86,4720.910556587802,620.964157459417,58.072204472327485,1.6171831441792508,1900.9729832616576,4383.704277526006,71.29256393861505,1701.1503715836122,0.5430161447263447,0.4055070589229606,2.3770362451661566,3.4536466046259897,0.3473263199477008,0.33217008306166806,126478,Tcell_Qui_filtered
Tcell_Qui_filtered_87,5896.049696432823,626.9395429124646,65.386402082761,1.9635601524354023,2162.8325625402276,4433.4198711723875,73.16212728964923,1648.5178881554045,0.5462912735350407,0.39712916859601743,2.3139696088876556,3.475678440040644,0.35782277189407585,0.3291028645414406,148638,Tcell_Qui_filtered
Tcell_Qui_filtered_88,5554.016497248594,610.1948988449703,58.297557088144224,1.7775552775633523,2024.5161165774098,4445.3231031786945,73.2861726703669,1634.7044252207406,0.5481830070720825,0.3992889355555176,2.318525273338348,3.449243142480848,0.3575252288453723,0.3294618167464813,138083,Tcell_Qui_filtered
Tcell_Qui_filtered_89,4508.565516336648,547.5790179357055,49.7461092874919,1.466066953324831,1637.2457489550059,4267.6591393891895,73.3599735123446,1538.6093476529163,0.5541483459820797,0.397608393450089,2.283913384971297,3.413105348985359,0.3611700287056837,0.32842636648028867,106786,Tcell_Qui_filtered
Tcell_Qui_filtered_90,4479.431716812865,562.7733566387387,47.372669866706715,1.5705544476991877,1799.3997237387177,4303.364401260049,71.34180554494,1634.759211974874,0.5404034870448479,0.40444022726481305,2.3822444857415443,3.479449006832562,0.3449089832737733,0.3294532425768519,114330,Tcell_Qui_filtered
Tcell_Qui_filtered_91,5558.26152724867,547.682320166299,54.2955706853664,1.823605706689131,1880.0625397559743,4261.611949327629,74.72464868671605,1486.3910814649687,0.5623325812332362,0.39440984772073095,2.232567664182356,3.3681416406703644,0.37089863839689596,0.3245320732290757,124240,Tcell_Qui_filtered
Tcell_Qui_filtered_92,6130.917330469961,645.5777785887203,75.49979570181402,2.0109565233964006,2435.5059232937833,4475.7676420365515,71.56916193437303,1734.532856271632,0.5405797260699948,0.4060266228970038,2.390809012789351,3.469112522317876,0.34738754093775276,0.33186210514563286,166394,Tcell_Qui_filtered
Tcell_Qui_filtered_93,7937.018673726422,617.7179664176488,75.75046762734921,2.310576691851733,2691.3374246618714,4481.655033304422,74.67776390113622,1596.15323320623,0.5550858135582266,0.395736891063569,2.2693241599113274,3.4161585312739033,0.3653754507954112,0.3237631112891224,188374,Tcell_Qui_filtered
Tcell_Qui_filtered_94,4366.827983281844,526.638195894659,51.42290796155078,1.7170854042156298,1629.6966800360638,4349.377238538075,72.82264692405444,1565.5574826858813,0.5365071984229062,0.39886556060335404,2.36647060042255,3.540928568823755,0.3471986163338679,0.32491109187603684,106278,Tcell_Qui_filtered
Tcell_Qui_filtered_95,1530.0512809778008,397.89939540461387,39.826468051792496,1.7744547483933322,923.50208355286,4451.316983777892,62.36062777752069,1923.5803292238763,0.45463329354515725,0.4265817315584658,2.9866968466305797,3.992119181601129,0.2649641581882974,0.32640746250580915,55810,Tcell_Qui_filtered
Tcell_Qui_filtered_96,1348.1714111907327,500.7167171247822,39.858684478159184,1.5376436248358598,906.7510509582506,4516.437525856323,59.78792769246265,2115.5212724007324,0.45106868931839,0.42833504967149805,3.0226722478895893,4.006686925083166,0.25877113378143984,0.32195364923565356,56179,Tcell_Qui_filtered
Tcell_Qui_filtered_97,1345.0516604638415,522.7154895269983,39.89208608528582,1.4848230669356064,869.9656767837118,4629.11997503258,60.72420463016523,2135.5385123118867,0.4508048912753667,0.42905063284644707,3.029493706735621,4.003516565453261,0.26399016568942546,0.3221158919343473,55707,Tcell_Qui_filtered
Tcell_Qui_filtered_98,1356.8660268939898,501.4401481502733,40.06748021698367,1.4320758573412475,871.8230608208133,4626.405685377484,60.8817997258316,2115.0524282432402,0.45526262698736697,0.4347281167874568,3.0395259608988043,3.9290875502013605,0.26181550886485827,0.31850630494627225,55586,Tcell_Qui_filtered
