cell_id,NAD(P)H_amp1,Lifetime fit_NAD(P)H: t1,NAD(P)H_offset,NAD(P)H_amp2,Lifetime fit_NAD(P)H: t2,Lifetime fit_NAD(P)H: a1,Lifetime fit_NAD(P)H: tm,Lifetime fit free_NAD(P)H: G(1st),Lifetime fit free_NAD(P)H: S(1st),Lifetime fit free_NAD(P)H: Tau_phase,Lifetime fit free_NAD(P)H: Tau_m,Lifetime fit free_NAD(P)H: G(2nd),Lifetime fit free_NAD(P)H: S(2nd),Intensity texture_NAD(P)H: intensity_sum,image_name
Tcell_Qui_filtered_96,1475.1427184416639,400.0,41.88162723234301,945.1973421901811,4361.348194725222,60.94774624589606,1946.9957490877089,0.31886529942134284,0.3519430340147309,2.1958125285133447,3.6865414609814176,0.17805895141274042,0.24421707818502353,56179,Tcell_Qui_filtered
Tcell_Qui_filtered_97,1484.3483569810967,400.0,42.38061831973727,918.5396955111165,4425.639239612661,61.77351272946606,1938.8604714881528,0.3209263701049389,0.3483210868772282,2.159257851790317,3.699438422515812,0.18125467313187982,0.24144249135592824,55707,Tcell_Qui_filtered
Tcell_Qui_filtered_98,1486.730306416688,400.0,42.129340891317035,909.8357963253501,4461.661901566461,62.03585641621323,1941.975156198655,0.31672285485968144,0.35017669524902767,2.1995709793803093,3.714215323378291,0.18640361028842115,0.2476421900635106,55586,Tcell_Qui_filtered
Tcell_Qui_filtered_99,1441.9301991578627,400.0,41.902290123962956,937.0290300848769,4334.735697269272,60.611807946656235,1949.8212532318964,0.3218586690933699,0.3549761415922837,2.19413880373497,3.644190181626759,0.18166520085652085,0.24625197203949872,55446,Tcell_Qui_filtered
Tcell_Qui_filtered_100,1497.057394082627,400.0,41.66363631519232,932.2141198319706,4404.371954426219,61.6257748673892,1936.646708938645,0.32434901004123406,0.3504941882349398,2.1498016355699794,3.660257138280931,0.1844340245834596,0.2462836453462322,56041,Tcell_Qui_filtered
Tcell_Qui_filtered_101,3025.3011090210907,400.0,54.66155478217605,1397.7684796176882,4204.664405301441,68.39822544940203,1602.3414677702106,0.37066365810314134,0.3470739351818171,1.862825340270192,3.375128464272856,0.22782569717219034,0.2596704841186453,83397,Tcell_Qui_filtered
Tcell_Qui_filtered_102,1764.8735285063165,400.0,44.160328621090095,1018.6183352237164,4365.502859510688,63.40501840523752,1851.1750415777158,0.3266725737649059,0.3505454660686505,2.134822762295494,3.6442310745798654,0.19203383954130235,0.24941816366941527,61179,Tcell_Qui_filtered
Tcell_Qui_filtered_103,1956.779051476761,400.0,42.6186934181505,1090.0389334521847,4170.680604898131,64.22369374068123,1749.0102412690894,0.3482638956550233,0.35298330224010244,2.016396118048279,3.484038711542644,0.20407870070108478,0.25504832732769006,62868,Tcell_Qui_filtered
Tcell_Qui_filtered_104,2198.818902007907,400.0,43.62531025325911,1092.809729569731,4236.911435116909,66.800333455419,1673.841802069712,0.3531514414614351,0.3466987912874717,1.9530865486858033,3.49316587166725,0.2159524959687022,0.2534520046757278,64957,Tcell_Qui_filtered
Tcell_Qui_filtered_105,1437.5417296630508,400.0,42.941268348084535,938.9203374338889,4357.585841086581,60.490834234906856,1963.609150250753,0.32117485707967897,0.3538892473989092,2.192077842842865,3.6567008407453305,0.17959125628816197,0.25475433011035503,55915,Tcell_Qui_filtered
Tcell_Qui_filtered_106,2171.78241909633,400.0,46.55823417498706,1143.7299153256797,4240.9027592148195,65.50367484833788,1724.9703045779058,0.35016000142303155,0.3486239515170704,1.9807097090859185,3.500408918126788,0.20841713690085645,0.25326942691302656,67621,Tcell_Qui_filtered
Tcell_Qui_filtered_107,1411.2615854686103,400.0,41.44641729564302,946.9777968027367,4348.074969254067,59.84386471017834,1985.394325997248,0.3160623442319743,0.35233166386238607,2.2177319971378133,3.70250594886119,0.17709545447051206,0.2516521305989137,55764,Tcell_Qui_filtered
Tcell_Qui_filtered_108,933.7299176980472,400.0,29.86108202773785,627.4398783118803,4342.142716353794,59.80963250022483,1984.3616450682098,0.3160907067195452,0.35227025481702595,2.21714650124608,3.702775810914066,0.1771874924238234,0.24644201511540115,37387,Tcell_Qui_filtered
Tcell_Qui_filtered_109,2100.0587980707137,400.0,40.21226779621357,1016.257337409221,4439.432467823823,67.38914496385937,1717.2934663648243,0.34583192211165414,0.34462139706399547,1.9824731080009135,3.5561821013846395,0.21078318258350123,0.24968098951207937,62497,Tcell_Qui_filtered
Tcell_Qui_filtered_110,4371.917936019318,400.0,67.94572171231472,1835.8866852391168,4108.597606709934,70.42615228333412,1496.7750086323113,0.38383896959012315,0.346434380540506,1.7955688611710405,3.293360609611992,0.24742552708918106,0.25902322710954767,108912,Tcell_Qui_filtered
Tcell_Qui_filtered_111,2548.774011283819,400.0,46.422015194835794,1293.2675763974098,4188.845615140271,66.33905316006926,1675.361308359414,0.35899067781163085,0.3500751483728946,1.9400291484174064,3.432743582135443,0.2178395720602666,0.2562975269737022,75008,Tcell_Qui_filtered
Tcell_Qui_filtered_112,2299.3938637460165,400.0,43.22860238037407,1010.6343132257202,4222.373817966167,69.4675012056748,1567.0662398851223,0.3689701256720201,0.3464106021425496,1.8677989027570594,3.390298125728101,0.22721774538659342,0.25391196340259053,61714,Tcell_Qui_filtered
Tcell_Qui_filtered_113,3576.2333482959743,400.0,49.78980056391524,1436.4992581708595,4084.189238853005,71.34299052142421,1455.7784593867748,0.3946278111668154,0.3454159375513984,1.7413450195476667,3.22987463717817,0.25498013889558707,0.2675687586603364,84916,Tcell_Qui_filtered
Tcell_Qui_filtered_114,1628.292593521824,400.0,42.82133687721901,939.5882728953791,4318.928898915499,63.409974147035676,1833.9370972724719,0.3330095878596707,0.35035244931648885,2.093044996521585,3.6030497820361482,0.18623124571388358,0.24835726595594473,56445,Tcell_Qui_filtered
Tcell_Qui_filtered_115,1609.374446851215,400.0,42.05592872358332,934.628764494059,4309.669136893688,63.261494312350905,1836.3540182259485,0.3330564706171204,0.34899869285298774,2.084664013479607,3.612285613730841,0.18971074204146882,0.24980263202570532,55912,Tcell_Qui_filtered
Tcell_Qui_filtered_116,1652.9411284807065,400.0,40.53950294152786,940.2196362388391,4383.406955964989,63.74233140379458,1844.2904929319802,0.3287280345034703,0.3522387900277568,2.131722073320532,3.618288050764937,0.190971171037424,0.246124811018355,56690,Tcell_Qui_filtered
Tcell_Qui_filtered_117,1669.543207982293,400.0,40.595337696458515,936.8012628865702,4432.716177615594,64.05688989474697,1849.4836159527247,0.3329267908388196,0.34775106998488825,2.078020726949603,3.6219785940998874,0.19866460052966547,0.2517156950114101,57054,Tcell_Qui_filtered
Tcell_Qui_filtered_118,1665.7711211646133,400.0,42.46489387860208,940.3493495451769,4362.211720146839,63.91765614392077,1829.6588571692541,0.3276334077875886,0.3514675875438833,2.134161328049691,3.631135535007208,0.19720259011146002,0.2460305980225551,56954,Tcell_Qui_filtered
Tcell_Qui_filtered_119,1720.7393552260858,400.0,40.68551252739417,937.4526752399447,4467.7255397801855,64.73344797909157,1834.5465435543574,0.33141654592098635,0.3455875128869092,2.0745026773609996,3.6476280067639895,0.2031732573506553,0.24501017137345987,57635,Tcell_Qui_filtered
Tcell_Qui_filtered_120,1497.1185151689497,400.0,45.70248436885915,963.2700605312062,4291.439098832119,60.848864685648806,1923.542587259332,0.3282157033137127,0.35397258708336216,2.1455587889519845,3.609299861676896,0.18128409971002465,0.24949042625961226,57203,Tcell_Qui_filtered
Tcell_Qui_filtered_121,1559.7441259716832,400.0,45.82114799100978,992.5258122975043,4329.984055997158,61.11203609714644,1928.2907810840748,0.31963560768896493,0.35311051372761876,2.197787197576411,3.672719276069418,0.18656069754548119,0.24438976980072494,59120,Tcell_Qui_filtered
Tcell_Qui_filtered_122,1870.6433021942105,400.0,45.751669573879106,1033.5207508005321,4291.01943951438,64.41245288003698,1784.7183764841016,0.3441218450329438,0.3533563444263005,2.0428232652210783,3.508681105176204,0.20342019589134655,0.2512083724630096,61909,Tcell_Qui_filtered
Tcell_Qui_filtered_123,1607.2284671333239,400.0,43.59773210665941,969.0881040504011,4467.1510177968,62.384742818886586,1929.869315288538,0.32168078624047947,0.3479652592707181,2.1519932727574735,3.6969204232457438,0.18459942297443055,0.24618250282740053,59107,Tcell_Qui_filtered
Tcell_Qui_filtered_124,1509.0094178793067,400.0,39.82857156969999,968.349594872231,4442.035711832955,60.91202002261632,1979.9501097199632,0.31490980683510106,0.34881828350341293,2.2036529529814186,3.7368149750659225,0.17885265171505899,0.24308577436074663,57652,Tcell_Qui_filtered
Tcell_Qui_filtered_125,1714.591654593383,400.0,47.09940105934729,1049.4861678336651,4417.8842739270385,62.031236627333996,1925.540972554917,0.322646090069807,0.3505927651001692,2.161756073267275,3.671025723423115,0.18530020690863294,0.2470277662626253,63393,Tcell_Qui_filtered
Tcell_Qui_filtered_126,1526.445580683816,400.0,41.44651721660342,962.9854897892027,4413.148259007438,61.31704544017661,1952.4043174501905,0.3161457744712058,0.3473331386801083,2.1856921072654107,3.7395742977251554,0.181023786850893,0.2431601002998171,57560,Tcell_Qui_filtered
Tcell_Qui_filtered_127,1548.4212666867818,400.0,44.52359984913335,961.6958180346851,4342.34049057914,61.68721276436398,1910.4205242599148,0.32257423472312957,0.35198169851646316,2.1708036928638634,3.6613303636794923,0.18816600609511852,0.2492896707661212,57587,Tcell_Qui_filtered
Tcell_Qui_filtered_128,1462.447270339024,400.0,43.12196606315322,966.6262163840988,4345.493603927167,60.20597064405406,1970.0708829837458,0.3191434166091724,0.35335906906276404,2.2027260943220477,3.674173172320972,0.18459521138644844,0.2508440050844275,57160,Tcell_Qui_filtered
Tcell_Qui_filtered_129,1521.6271563918635,400.0,41.35377530040118,934.0466592023389,4475.5207624568975,61.9637325905873,1950.1759755342405,0.31621532956738924,0.3480200855185047,2.189533196465815,3.733910224970144,0.18055974427061264,0.24134138352233658,56784,Tcell_Qui_filtered
Tcell_Qui_filtered_130,1498.7933998121462,400.0,42.31586457653647,940.2305564361561,4415.601431515337,61.45054032669629,1947.9926544826114,0.31782113485289815,0.3535063319135809,2.2128122538315194,3.681925168275353,0.18351925036316946,0.238249551462959,56629,Tcell_Qui_filtered
Tcell_Qui_filtered_131,1517.6402524163072,400.0,42.48715702409589,953.0986899955604,4382.9567585270215,61.424549002932224,1936.44353261999,0.3200793603234078,0.34784079514605437,2.1619865578248167,3.708789341370583,0.18773322672475581,0.2505545162991417,57027,Tcell_Qui_filtered
Tcell_Qui_filtered_132,1611.2673975360997,400.0,46.883796459951114,1047.1023651040873,4382.404743810969,60.61110911583093,1968.625059105675,0.3157128953637221,0.35518570474882016,2.2381711935312074,3.683457064574898,0.18199051379304865,0.24600979351830737,62434,Tcell_Qui_filtered
Tcell_Qui_filtered_133,1149.317159560934,400.0,32.73706686623967,744.1403029191056,4405.110025510884,60.69939158049873,1974.03260789622,0.3159589410163655,0.35271986331193983,2.2209020890583524,3.7002886443618297,0.17704635896498377,0.24563649090886386,44429,Tcell_Qui_filtered
Tcell_Qui_filtered_134,999.6749538509457,400.0,27.048962067455218,631.2966216250735,4462.180678439667,61.29321742220911,1972.3394431206734,0.3133808718606082,0.355660737005746,2.257842191440015,3.6953948105028744,0.180404170152334,0.24870102692092355,37991,Tcell_Qui_filtered
Tcell_Qui_filtered_135,800.5244403754497,400.0,24.967358777494564,536.8369724658263,4311.627827978397,59.858496939485086,1970.1862042839016,0.31912143670540527,0.35290751578955903,2.200062779080851,3.6776655023075246,0.17101312104168706,0.24659568222682662,31727,Tcell_Qui_filtered
Tcell_Qui_filtered_136,4854.193500575222,400.0,70.07427064537053,2179.3845350181505,3925.8983693700898,69.01456806209598,1492.5148394408366,0.39344932460717985,0.350888985399351,1.774234730182947,3.2066901947162147,0.24824193766033403,0.26936217793838335,121887,Tcell_Qui_filtered
Tcell_Qui_filtered_137,3528.6352223416065,400.0,49.73033104910263,1418.6747917050134,4156.21798380144,71.32431992988009,1477.12105177121,0.3847234566595013,0.3428919978818338,1.773122858279773,3.3082387838596423,0.24978097435660856,0.2557774343544502,84921,Tcell_Qui_filtered
Tcell_Qui_filtered_138,1631.125487518562,400.0,45.8141820187663,1004.9238395114168,4282.489166107703,61.87765421508031,1880.095944965623,0.33151390104332384,0.35560846904194515,2.134029880619186,3.575928875729948,0.18808924482603392,0.25004268268658125,59533,Tcell_Qui_filtered
