cell_id,standard_amp1,Lifetime fit_standard: t1,standard_offset,standard_reduced_chi_square,standard_amp2,Lifetime fit_standard: t2,Lifetime fit_standard: a1,Lifetime fit_standard: tm,Lifetime fit free_standard: G(1st),Lifetime fit free_standard: S(1st),Lifetime fit free_standard: Tau_phase,Lifetime fit free_standard: Tau_m,Lifetime fit free_standard: G(2nd),Lifetime fit free_standard: S(2nd),Intensity texture_standard: intensity_sum,image_name,cell_type
Tcell_Act_filtered_23,5713.481389643958,514.1723802686286,30.330090811355067,1.8293730510818125,1191.1707659017793,4107.275617311811,82.74828711037898,1134.044234550997,0.6354889390944111,0.3543823113003418,1.7750646193198636,3.000926404524601,0.4571327753391384,0.317114782545885,87403,Tcell_Act_filtered,Act
Tcell_Act_filtered_24,2678.804161882722,488.4402006553668,21.88368452391183,1.5667116257945592,740.8496666877899,3981.685958892074,78.33553617333597,1245.2331643250336,0.5964675683680454,0.3697662606103972,1.9732884497229777,3.231204690208621,0.4070295705008512,0.3236764021258564,48449,Tcell_Act_filtered,Act
Tcell_Act_filtered_25,5494.749779542221,580.8122722475031,41.570043707763865,1.5854153091783083,1424.824843868612,4214.7213592032085,79.40877985406739,1329.078492245602,0.6079159544266606,0.3718566512205728,1.9470725758191267,3.1335782702600428,0.4233380914811016,0.3281621251578556,103116,Tcell_Act_filtered,Act
Tcell_Act_filtered_26,7241.053147072504,608.5144455004144,55.147849052155145,2.184671741671608,2238.013113982953,4274.229961142839,76.38994124159906,1473.992032659411,0.5812913067931703,0.3845578277908448,2.105804042907249,3.2749226782170897,0.3898179220625968,0.3305832304895313,154397,Tcell_Act_filtered,Act
Tcell_Act_filtered_27,4274.925735646889,495.3406531284754,30.254841272419736,1.388259499039733,1107.866904728898,4074.262379153959,79.41836182915723,1231.941373196721,0.607268555310688,0.3735142273989765,1.957836778664871,3.1307661033880816,0.4227289840976918,0.3230663812002952,74674,Tcell_Act_filtered,Act
Tcell_Act_filtered_28,771.7820747431841,422.2580500461467,9.928591880856771,1.0824263658150362,292.92757867419164,3846.96927998013,72.48756243225671,1364.4795890572282,0.571677879946135,0.4000206194928224,2.2273123087065603,3.26806187174484,0.3681917312005759,0.3362802041452886,16975,Tcell_Act_filtered,Act
Tcell_Act_filtered_29,8544.450513876334,566.0925204219483,66.09042877661774,2.251961077667186,2346.2933698221696,4586.424772488152,78.4560779788959,1432.2297657963893,0.564779714665123,0.3809913506818776,2.1472675155208827,3.420263467174176,0.3871959798504656,0.3144496049624009,172961,Tcell_Act_filtered,Act
Tcell_Act_filtered_30,929.3321600283102,398.1364393574089,12.810527569885204,1.006570921095066,313.74808152280093,3949.1305091131135,74.76043210764036,1294.3919984470651,0.5538310439954393,0.38674201461679,2.222768261003695,3.4746104793777017,0.3623142712695643,0.3210763540838056,19186,Tcell_Act_filtered,Act
Tcell_Act_filtered_31,1633.8514456372552,479.2632947410804,27.496339322565223,1.4190074087980458,621.672334349193,3982.570778714396,72.43778408078109,1444.8524677879611,0.5563029701689352,0.3907623183768412,2.2358951103510085,3.4337869804146743,0.3665884197770871,0.3350781817744707,39021,Tcell_Act_filtered,Act
Tcell_Act_filtered_32,3192.8210661395087,550.3090026686286,28.476368781727203,1.1601671122184185,1115.3255418112765,4035.418873437101,74.1112445023826,1452.560575935208,0.5859357435711255,0.396263226446587,2.152701962510051,3.180901752552247,0.3875435684120425,0.336689753397501,70044,Tcell_Act_filtered,Act
Tcell_Act_filtered_33,6500.947438566635,540.4276714036837,36.83911586526224,1.8602926718614905,1443.2330272534148,4363.581164474463,81.83282676592071,1234.9865894946054,0.6133566500638185,0.3645402720258953,1.8918319787663087,3.125709256968458,0.4342911722516073,0.3165485481403859,108691,Tcell_Act_filtered,Act
Tcell_Act_filtered_34,910.1940277599996,409.9058441921673,13.427592657316591,1.1510264728575843,293.64725248278285,4004.833800333912,75.60747772135194,1286.7994467953897,0.5600052106379131,0.3821652906259049,2.172247469339733,3.4511886561148954,0.3695419668643204,0.3216895818303644,18688,Tcell_Act_filtered,Act
Tcell_Act_filtered_35,5714.856529005288,593.7578968066641,33.42983584273086,2.6772226813989017,1411.4208902885505,4282.331037784773,80.19413492846576,1324.3117161736411,0.6139865718585507,0.37360790835932,1.936900516036312,3.079349349672388,0.4281144653183094,0.3252249927146579,103944,Tcell_Act_filtered,Act
Tcell_Act_filtered_36,797.22997502993,408.3521259420439,13.85109475060114,1.3794049706622131,326.4147720182885,3914.458948914949,70.95035838722421,1426.863592576752,0.5371792542439097,0.39369453033018,2.332868593686971,3.565215680693923,0.343432512627336,0.3321708520057513,19275,Tcell_Act_filtered,Act
Tcell_Act_filtered_37,1754.5921099242455,550.9889119473302,18.000478416230106,1.2910378925270471,566.9586983431346,4165.434841898516,75.57844970163426,1433.692642737592,0.5776373092126609,0.3854959340769401,2.124294344276323,3.2980326486843428,0.3923408728097349,0.3334839612669596,37809,Tcell_Act_filtered,Act
Tcell_Act_filtered_38,5284.132372174725,554.6797365678445,33.50632401357952,1.6239951934149472,1510.2953680360984,4135.378351727496,77.77155890410225,1350.6132190602336,0.599688185355202,0.3806015743615024,2.020203945565867,3.154682984757472,0.4082340885790483,0.327912229912112,101273,Tcell_Act_filtered,Act
Tcell_Act_filtered_39,3204.031243186423,468.4486906835703,21.818003724263303,1.1372843074942802,745.7410619697756,4031.372409192028,81.11939108499358,1141.1503839151562,0.6145327046186371,0.3611179921761799,1.8704851039596373,3.1322152873501925,0.4362575973852571,0.3156164548367667,51181,Tcell_Act_filtered,Act
Tcell_Act_filtered_40,1870.9611619798816,509.1913277324018,16.413005141706993,1.467789078245567,520.4212125878519,4184.133473385701,78.23764120190425,1308.945423091911,0.5892779482770338,0.3765182142950476,2.0338359901096554,3.2538203928702214,0.4101220266811509,0.3254020213596234,35564,Tcell_Act_filtered,Act
Tcell_Act_filtered_41,7083.698945889232,607.2377506109498,52.63351774398399,1.6871602399864472,1944.46884254838,4293.023531761344,78.4621986640671,1401.0749698231846,0.5982342312779175,0.377815409910522,2.0102891783741983,3.179099077228848,0.4120338109064914,0.3297415324524415,140569,Tcell_Act_filtered,Act
Tcell_Act_filtered_42,3710.6092052797153,501.3281628668436,27.186068424573147,1.4023731541854454,899.4108212123739,4099.294616184148,80.4900886320712,1203.2882289568604,0.6088268516111581,0.3641246748025097,1.9037347562180436,3.162431794705649,0.429863498826377,0.3177495318740597,62895,Tcell_Act_filtered,Act
